movie,rating,id
Star Wars: Episode IV - A New Hope (1977),3.991031390134529,3345
Finding Nemo (2003),3.7883638211382116,3936
Forrest Gump (1994),4.185377150419056,4534
American Beauty (1999),3.670576310454677,3453
Pirates of the Caribbean: The Curse of the Black Pearl (2003),3.6345572856146875,4303
Kill Bill: Vol. 1 (2003),3.6305960264900663,3775
Eternal Sunshine of the Spotless Mind (2004),3.759101471727343,2582
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.667125442390877,2543
Memento (2000),3.9548049476688867,3153
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),3.9174941588785046,3424
Gladiator (2000),4.004852071005917,4225
Back to the Future (1985),3.92243802708919,3913
Snatch (2000),3.7379428083653434,2343
Pretty Woman (1990),3.270893371757925,3470
The Lord of the Rings: The Fellowship of the Ring (2001),4.090158446775273,4481
The Lord of the Rings: The Two Towers (2002),4.056556442417332,4385
The Lord of the Rings: The Return of the King (2003),4.119963578420214,4393
O Brother Where Art Thou? (2000),3.4553893759669934,1939
Donnie Darko (2001),3.412770236299648,1989
Crouching Tiger Hidden Dragon (Wo hu cang long) (2000),3.6161695447409734,3185
Lost in Translation (2003),3.4770136778115504,2632
The Dark Knight (2008),4.218086404686356,4097
Ocean's Eleven (2001),3.748313764676493,4003
Minority Report (2002),3.6318785578747628,3689
Sin City (2005),3.4604627071823204,2896
Amelie (2001),3.8034158243290346,2869
Braveheart (1995),3.855564430244941,3756
The Godfather (1972),4.308056231413896,3699
High Fidelity (2000),3.2151515151515153,1485
Batman (1989),3.295135488083578,3063
Batman Begins (2005),3.8982666666666668,3750
The Silence of the Lambs (1991),3.990400216333153,3698
Fargo (1996),3.6778350515463916,2134
The Shawshank Redemption (1994),4.401755305213518,3817
Terminator 2: Judgment Day (1991),3.8093757474288448,4181
Jurassic Park (1993),3.7327079566003616,4424
Kill Bill: Vol. 2 (2004),3.565340909090909,3520
Batman Forever (1995),2.7964850615114236,2845
Schindler's List (1993),4.1643429249480866,3371
A Beautiful Mind (2001),4.142724530053377,4309
Erin Brockovich (2000),3.3305184603299294,2546
Fight Club (1999),4.066215498938429,3768
Spider-Man (2002),3.4285881526574573,4271
Spider-Man 2 (2004),3.2539424280350437,3995
Apollo 13 (1995),3.6736842105263157,2850
Dances with Wolves (1990),3.474120082815735,2415
Monsters Inc. (2001),3.791617819460727,3412
Titanic (1997),3.5476932668329177,4812
E.T. the Extra-Terrestrial (1982),3.6780203784570595,3435
Independence Day (a.k.a. ID4) (1996),3.387027285782671,4178
The Matrix (1999),4.297855119384865,4942
The Matrix Reloaded (2003),3.6380781320161653,4454
Men in Black (a.k.a. MIB) (1997),3.500774336283186,4520
The Usual Suspects (1995),4.030919765166341,2555
Catch Me If You Can (2002),3.8613804905875644,3506
Requiem for a Dream (2000),3.685289957567185,2121
Twister (1996),2.9466904478795084,2523
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),3.4821699544764795,3954
Harry Potter and the Chamber of Secrets (2002),3.4580678052510834,3923
Pulp Fiction (1994),4.064430244941427,3756
The Sixth Sense (1999),3.8538201663201663,3848
V for Vendetta (2006),3.7703658161696896,3253
Almost Famous (2000),3.1303680981595092,1630
Mrs. Doubtfire (1993),3.149219765929779,3076
Seven (a.k.a. Se7en) (1995),3.85494433529797,3054
Shrek (2001),3.771204311152765,4268
Shrek 2 (2004),3.4354073292907987,3793
Aladdin (1992),3.4286869340232857,3092
The Mask (1994),3.2491606714628296,4170
Saving Private Ryan (1998),3.977625937834941,3732
Toy Story (1995),3.810287751464222,3927
Mission: Impossible (1996),3.5503059975520195,4085
Mission: Impossible II (2000),3.29614251272435,3733
The Departed (2006),3.916044776119403,2948
Die Hard: With a Vengeance (1995),3.4835873388042202,3412
Meet the Parents (2000),3.239607201309329,3055
Speed (1994),3.2705175865027165,3497
Star Wars: Episode V - The Empire Strikes Back (1980),4.015972618368511,3506
Star Wars: Episode VI - Return of the Jedi (1983),3.932413204325555,3514
Star Wars: Episode II - Attack of the Clones (2002),3.312765355222191,3533
Traffic (2000),3.371189024390244,1968
The Patriot (2000),3.3391167192429023,2536
Stargate (1994),3.297676457693994,2281
The Bourne Identity (2002),3.9157588041550544,3947
The Bourne Supremacy (2004),3.844054054054054,3700
Ace Ventura: Pet Detective (1994),2.952038001838799,3263
Charlie's Angels (2000),2.6566121842496284,3365
The Fugitive (1993),3.55487336914812,2606
Chicken Run (2000),3.1416666666666666,2400
Cast Away (2000),3.6375287545185673,3043
Dumb & Dumber (1994),2.914326285894604,3169
The Lion King (1994),3.8158866995073892,4060
Clear and Present Danger (1994),3.1758696852567643,1811
Unbreakable (2000),3.2435505028421514,2287
The Rock (1996),3.403236914600551,2904
The Incredibles (2004),3.642577578976796,3577
Beauty and the Beast (1991),3.3096873926485744,2911
X-Men (2000),3.5179542981501633,3676
X2: X-Men United (2003),3.399904214559387,3132
True Lies (1994),3.2029199475065617,3048
