movie	mean	numberOfRatings	value
Star Wars: Episode IV - A New Hope (1977)	3.9910313901	3345	5.4534532502
Finding Nemo (2003)	3.7883638211	3936	4.4087443156
Forrest Gump (1994)	4.1853771504	4534	6.5324228586
American Beauty (1999)	3.6705763105	3453	3.8393199369
Pirates of the Caribbean: The Curse of the Black Pearl (2003)	3.6345572856	4303	3.6707318373
Kill Bill: Vol. 1 (2003)	3.6305960265	3775	3.6523494204
Eternal Sunshine of the Spotless Mind (2004)	3.7591014717	2582	4.2646898383
Twelve Monkeys (a.k.a. 12 Monkeys) (1995)	3.6671254424	2543	3.8230556595
Memento (2000)	3.9548049477	3153	5.2606839454
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)	3.9174941589	3424	5.0648883143
Gladiator (2000)	4.004852071	4225	5.5276879848
Back to the Future (1985)	3.9224380271	3913	5.0906722079
Snatch (2000)	3.7379428084	2343	4.1615955219
Pretty Woman (1990)	3.2708933718	3470	2.1139425109
The Lord of the Rings: The Fellowship of the Ring (2001)	4.0901584468	4481	5.9943485099
The Lord of the Rings: The Two Towers (2002)	4.0565564424	4385	5.8087945271
The Lord of the Rings: The Return of the King (2003)	4.1199635784	4393	6.1608255998
O Brother Where Art Thou? (2000)	3.455389376	1939	2.8706857877
Donnie Darko (2001)	3.4127702363	1989	2.6898291128
Crouching Tiger Hidden Dragon (Wo hu cang long) (2000)	3.6161695447	3185	3.5856678957
Lost in Translation (2003)	3.4770136778	2632	2.9638389274
The Dark Knight (2008)	4.2180864047	4097	6.721445034
Ocean's Eleven (2001)	3.7483137647	4003	4.2120155048
Minority Report (2002)	3.6318785579	3689	3.6582976345
Sin City (2005)	3.4604627072	2896	2.8924567088
Amelie (2001)	3.8034158243	2869	4.4835102542
Braveheart (1995)	3.8555644302	3756	4.7460459398
The Godfather (1972)	4.3080562314	3699	7.252405412
High Fidelity (2000)	3.2151515152	1485	1.8986986456
Batman (1989)	3.2951354881	3063	2.2094909826
Batman Begins (2005)	3.8982666667	3750	4.9650753934
The Silence of the Lambs (1991)	3.9904002163	3698	5.4500721612
Fargo (1996)	3.6778350515	2134	3.873608829
The Shawshank Redemption (1994)	4.4017553052	3817	7.8225836902
Terminator 2: Judgment Day (1991)	3.8093757474	4181	4.5132394665
Jurassic Park (1993)	3.7327079566	4424	4.1362271872
Kill Bill: Vol. 2 (2004)	3.5653409091	3520	3.3540465752
Batman Forever (1995)	2.7964850615	2845	0.4806618706
Schindler's List (1993)	4.1643429249	3371	6.4119994833
A Beautiful Mind (2001)	4.1427245301	4309	6.2891537517
Erin Brockovich (2000)	3.3305184603	2546	2.3510600098
Fight Club (1999)	4.0662154989	3768	5.8619016387
Spider-Man (2002)	3.4285881527	4271	2.7565293757
Spider-Man 2 (2004)	3.253942428	3995	2.0478299069
Apollo 13 (1995)	3.6736842105	2850	3.8539881567
Dances with Wolves (1990)	3.4741200828	2415	2.9513197035
Monsters Inc. (2001)	3.7916178195	3412	4.424869105
Titanic (1997)	3.5476932668	4812	3.2748363711
E.T. the Extra-Terrestrial (1982)	3.6780203785	3435	3.8744856572
Independence Day (a.k.a. ID4) (1996)	3.3870272858	4178	2.5823473214
The Matrix (1999)	4.2978551194	4942	7.1913894291
The Matrix Reloaded (2003)	3.638078132	4454	3.6870968408
Men in Black (a.k.a. MIB) (1997)	3.5007743363	4520	3.0672734379
The Usual Suspects (1995)	4.0309197652	2555	5.6687446442
Catch Me If You Can (2002)	3.8613804906	3506	4.7756632999
Requiem for a Dream (2000)	3.6852899576	2121	3.9089340553
Twister (1996)	2.9466904479	2523	0.9490880581
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)	3.4821699545	3954	2.9861892174
Harry Potter and the Chamber of Secrets (2002)	3.4580678053	3923	2.8821731767
Pulp Fiction (1994)	4.0644302449	3756	5.8520719563
The Sixth Sense (1999)	3.8538201663	3848	4.737176741
V for Vendetta (2006)	3.7703658162	3253	4.319939904
Almost Famous (2000)	3.1303680982	1630	1.5832267344
Mrs. Doubtfire (1993)	3.1492197659	3076	1.6521292695
Seven (a.k.a. Se7en) (1995)	3.8549443353	3054	4.7428921961
Shrek (2001)	3.7712043112	4268	4.3240627551
Shrek 2 (2004)	3.4354073293	3793	2.7854385327
Aladdin (1992)	3.428686934	3092	2.7569474847
The Mask (1994)	3.2491606715	4170	2.02928387
Saving Private Ryan (1998)	3.9776259378	3732	5.3818138028
Toy Story (1995)	3.8102877515	3927	4.5177949806
Mission: Impossible (1996)	3.5503059976	4085	3.2865241475
Mission: Impossible II (2000)	3.2961425127	3733	2.2134855207
The Departed (2006)	3.9160447761	2948	5.0573385743
Die Hard: With a Vengeance (1995)	3.4835873388	3412	2.9923422996
Meet the Parents (2000)	3.2396072013	3055	1.992367699
Speed (1994)	3.2705175865	3497	2.1124706327
Star Wars: Episode V - The Empire Strikes Back (1980)	4.0159726184	3506	5.5876969088
Star Wars: Episode VI - Return of the Jedi (1983)	3.9324132043	3514	5.1428448476
Star Wars: Episode II - Attack of the Clones (2002)	3.3127653552	3533	2.2797159707
Traffic (2000)	3.3711890244	1968	2.5168780945
The Patriot (2000)	3.3391167192	2536	2.3858402323
Stargate (1994)	3.2976764577	2281	2.2195740775
The Bourne Identity (2002)	3.9157588042	3947	5.0558494613
The Bourne Supremacy (2004)	3.8440540541	3700	4.6876306178
Ace Ventura: Pet Detective (1994)	2.9520380018	3263	0.9665966134
Charlie's Angels (2000)	2.6566121842	3365	0.0850324296
The Fugitive (1993)	3.5548733691	2606	3.3069885986
Chicken Run (2000)	3.1416666667	2400	1.6244374769
Cast Away (2000)	3.6375287545	3043	3.6845416847
Dumb & Dumber (1994)	2.9143262859	3169	0.8443442831
The Lion King (1994)	3.8158866995	4060	4.5457985118
Clear and Present Danger (1994)	3.1758696853	1811	1.7507468992
Unbreakable (2000)	3.2435505028	2287	2.0075831384
The Rock (1996)	3.4032369146	2904	2.6498711215
The Incredibles (2004)	3.642577579	3577	3.708046497
Beauty and the Beast (1991)	3.3096873926	2911	2.2674107429
X-Men (2000)	3.5179542982	3676	3.1427643257
X2: X-Men United (2003)	3.3999042146	3132	2.6359453117
True Lies (1994)	3.2029199475	3048	1.8522985959
